target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.20847293475867482, gt_vfs_stl: 0.20003275401197163,                             state_vfs_stl: -2.1834397425789054,                             num_nodes: 32376,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21361974741992057, gt_vfs_stl: 0.23041223314056436,                             state_vfs_stl: -2.4504126945328824,                             num_nodes: 32494,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21356588738493723, gt_vfs_stl: 0.2571168494395285,                             state_vfs_stl: -1.671645012100397,                             num_nodes: 32559,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.14814867388739533, gt_vfs_stl: 0.24437905696562495,                             state_vfs_stl: 0.11601563584041064,                             num_nodes: 28998,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21553857807284804, gt_vfs_stl: 0.22813214138006713,                             state_vfs_stl: 0.037697104846898484,                             num_nodes: 32630,                             is_success: 1,                             complete_tasks: [1],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21702597068303559, gt_vfs_stl: 0.25041548652989265,                             state_vfs_stl: -0.41529627399271773,                             num_nodes: 32562,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16966393954918815, gt_vfs_stl: 0.20109630290814898,                             state_vfs_stl: 0.11928572660040633,                             num_nodes: 31314,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15286482933839332, gt_vfs_stl: 0.2132360319968827,                             state_vfs_stl: 0.12114931116389722,                             num_nodes: 28221,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21672022712310646, gt_vfs_stl: 0.23768031001416084,                             state_vfs_stl: -0.04639422478255053,                             num_nodes: 32360,                             is_success: 1,                             complete_tasks: [1],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.20626169438511585, gt_vfs_stl: 0.24972385641524084,                             state_vfs_stl: -1.2191442684550295,                             num_nodes: 30572,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
